index,title_x,type_x,year_x,rating_x,imdb_score_x,rotten_score_x,decade_x,imdb_bucket_x,genres_Action_Adventure_x,genres_Animation_x,genres_Anime,genres_Biography_x,genres_Children_x,genres_Comedy_x,genres_Crime_x,genres_Cult_x,genres_Documentary_x,genres_Drama_x,genres_Family_x,genres_Fantasy_x,genres_Food_x,genres_Game Show_x,genres_History_x,genres_Home_Garden,genres_Horror_x,genres_Independent_x,genres_LGBTQ_x,genres_Musical_x,genres_Mystery_x,genres_Reality_x,genres_Romance_x,genres_Science_Fiction_x,genres_Sport_x,genres_Stand_up_Talk_x,genres_Thriller_x,genres_Travel_x,platforms_acorntv_x,platforms_adult_swim_tveverywhere,platforms_amazon_prime_x,platforms_amc,platforms_amc_premiere,platforms_bbc_america_tve,platforms_britbox,platforms_cartoon_network,platforms_cbs_all_access,platforms_cinemax_x,platforms_comedycentral_tveverywhere,platforms_criterion_channel,platforms_crunchyroll_premium,platforms_curiositystream,platforms_dc_universe,platforms_epix_x,platforms_fandor_x,platforms_free_x,platforms_fubo_tv_x,platforms_funimation,platforms_hbo_x,platforms_hbo_max_x,platforms_hoopla_x,platforms_hulu_plus_x,platforms_kanopy_x,platforms_nbc_tveverywhere,platforms_netflix_x,platforms_shoutfactorytv_x,platforms_showtime,platforms_shudder,platforms_starz,platforms_sundancenow_x,platforms_syfy_tveverywhere_x,platforms_tbs,platforms_tnt,platforms_trutv_tveverywhere,platforms_urbanmoviechannel,platforms_velocity_go,platforms_watch_tcm,title_y,type_y,year_y,rating_y,imdb_score_y,rotten_score_y,decade_y,imdb_bucket_y,genres_Action_Adventure_y,genres_Animation_y,genres_Biography_y,genres_Children_y,genres_Comedy_y,genres_Crime_y,genres_Cult_y,genres_Documentary_y,genres_Drama_y,genres_Family_y,genres_Fantasy_y,genres_Food_y,genres_Game Show_y,genres_History_y,genres_Horror_y,genres_Independent_y,genres_LGBTQ_y,genres_Musical_y,genres_Mystery_y,genres_Reality_y,genres_Romance_y,genres_Science_Fiction_y,genres_Sport_y,genres_Stand_up_Talk_y,genres_Thriller_y,genres_Travel_y,platforms_acorntv_y,platforms_amazon_prime_y,platforms_cinemax_y,platforms_epix_y,platforms_fandor_y,platforms_free_y,platforms_fubo_tv_y,platforms_hbo_y,platforms_hbo_max_y,platforms_hoopla_y,platforms_hulu_plus_y,platforms_kanopy_y,platforms_netflix_y,platforms_shoutfactorytv_y,platforms_sundancenow_y,platforms_syfy_tveverywhere_y,platforms_tlc_go,platforms_viceland_tve
0,0,Game of Thrones,TV,2011,R/TV-MA,9.3,89.0,2010-2019,9.01-9.50,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game of Thrones,TV,2011,R/TV-MA,9.3,89.0,2010-2019,9.01-9.50,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,8,Chernobyl,TV,2019,R/TV-MA,9.4,96.0,2010-2019,9.01-9.50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Wire,TV,2002,R/TV-MA,9.3,94.0,2000-2009,9.01-9.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
92,92,Last Week Tonight with John Oliver,TV,2014,R/TV-MA,8.9,98.0,2010-2019,8.51-9.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Veep,TV,2012,R/TV-MA,8.3,93.0,2010-2019,8.01-8.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
103,103,Silicon Valley,TV,2014,R/TV-MA,8.5,94.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sharp Objects,TV,2018,R/TV-MA,8.2,92.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
154,154,Six Feet Under,TV,2001,R/TV-MA,8.7,81.0,2000-2009,8.51-9.00,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flight of the Conchords,TV,2007,PG-13/TV-14,8.5,94.0,2000-2009,8.01-8.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
169,169,The Leftovers,TV,2014,R/TV-MA,8.3,91.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Generation Kill,TV,2008,R/TV-MA,8.5,86.0,2000-2009,8.01-8.50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
201,201,Euphoria,TV,2019,R/TV-MA,8.3,82.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Deuce,TV,2017,R/TV-MA,8.1,93.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
206,206,The Pacific,TV,2010,R/TV-MA,8.3,91.0,2010-2019,8.01-8.50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Know This Much Is True,TV,2020,R/TV-MA,8.2,73.0,2020-2029,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
270,270,The Newsroom,TV,2012,PG-13/TV-14,8.6,59.0,2010-2019,8.51-9.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Treme,TV,2010,R/TV-MA,8.2,97.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
291,291,Entourage,TV,2004,PG-13/TV-14,8.4,66.0,2000-2009,8.01-8.50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mildred Pierce,TV,2011,R/TV-MA,7.7,81.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
356,356,The Thick of It,TV,2005,R/TV-MA,8.7,85.0,2000-2009,8.51-9.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vinyl,TV,2016,R/TV-MA,7.8,74.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
370,370,Insecure,TV,2016,R/TV-MA,7.9,96.0,2010-2019,7.51-8.00,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mrs. Fletcher,TV,2019,R/TV-MA,7.0,84.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
426,426,Mildred Pierce,TV,2011,R/TV-MA,7.7,81.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olive Kitteridge,TV,2014,R/TV-MA,8.3,95.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
